,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
0,TRAPPIST-1,b,TRAPPIST-1 b,Transit,0,7,1.51087081,6e-07,-6e-07,0.0,0.01111,0.00034,-0.00034,0,0.081,,,1.0,89.65,0.22,-0.27,0.0,0.00267,0.00227,-0.00227,0.0,Mass,0.097,0.003,-0.003,0,3.6,3.1,-3.1,0.0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0.0,18.8,0.08,0,V (Johnson),15.645,,0.0,2559.0,50.0,-50.0,0,0.08,0.01,-0.01,0.0,0.12,0.0,0.0,0.0,2/22/2017,La Silla Observatory
1,TRAPPIST-1,c,TRAPPIST-1 c,Transit,0,7,2.4218233,1.7e-06,-1.7e-06,0.0,0.01521,0.00047,-0.00047,0,0.083,,,1.0,89.67,0.17,-0.17,0.0,0.00434,0.00192,-0.00192,0.0,Mass,0.094,0.003,-0.003,0,6.45,2.92,-2.92,0.0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0.0,18.8,0.08,0,V (Johnson),15.645,,0.0,2559.0,50.0,-50.0,0,0.08,0.01,-0.01,0.0,0.12,0.0,0.0,0.0,2/22/2017,La Silla Observatory
2,TRAPPIST-1,d,TRAPPIST-1 d,Transit,0,7,4.04961,6.3e-05,-6.3e-05,0.0,0.02144,0.00066,-0.00063,0,0.07,,,1.0,89.75,0.16,-0.16,0.0,0.00129,0.00085,-0.00085,0.0,Mass,0.069,0.003,-0.003,0,4.9,3.3,-3.3,0.0,1,0,1,2,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0.0,18.8,0.08,0,V (Johnson),15.645,,0.0,2559.0,50.0,-50.0,0,0.08,0.01,-0.01,0.0,0.12,0.0,0.0,0.0,2/22/2017,La Silla Observatory
3,TRAPPIST-1,e,TRAPPIST-1 e,Transit,0,7,6.099615,1.1e-05,-1.1e-05,0.0,0.02817,0.00083,-0.00087,0,0.085,,,1.0,89.86,0.1,-0.12,0.0,0.00195,0.00182,-0.00182,0.0,Mass,0.082,0.003,-0.003,0,4.4,4.2,-4.2,0.0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0.0,18.8,0.08,0,V (Johnson),15.645,,0.0,2559.0,50.0,-50.0,0,0.08,0.01,-0.01,0.0,0.12,0.0,0.0,0.0,2/22/2017,Multiple Observatories
4,TRAPPIST-1,f,TRAPPIST-1 f,Transit,0,7,9.20669,1.5e-05,-1.5e-05,0.0,0.0371,0.0011,-0.0011,0,0.063,,,1.0,89.68,0.034,-0.034,0.0,0.00214,0.00057,-0.00057,0.0,Mass,0.093,0.003,-0.003,0,3.3,0.94,-0.94,0.0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0.0,18.8,0.08,0,V (Johnson),15.645,,0.0,2559.0,50.0,-50.0,0,0.08,0.01,-0.01,0.0,0.12,0.0,0.0,0.0,2/22/2017,Multiple Observatories
5,TRAPPIST-1,g,TRAPPIST-1 g,Transit,0,7,12.35294,0.00012,-0.00012,0.0,0.0451,0.0014,-0.0014,0,0.061,,,1.0,89.71,0.025,-0.025,0.0,0.00422,0.00277,-0.00277,0.0,Mass,0.101,0.004,-0.004,0,5.2,3.5,-3.5,0.0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0.0,18.8,0.08,0,V (Johnson),15.645,,0.0,2559.0,50.0,-50.0,0,0.08,0.01,-0.01,0.0,0.12,0.0,0.0,0.0,2/22/2017,Multiple Observatories
6,LP 791-18,b,LP 791-18 b,Transit,0,2,0.948005,5.8e-06,-5.8e-06,0.0,0.00969,0.00032,-0.00035,0,0.0,,,0.0,87.3,2.0,-4.9,0.0,,,,0.0,,0.1,0.012,-0.012,0,,,,0.0,0,0,0,0,11h02m45.96s,165.6915,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0.0,16.9,0.2,0,V (Johnson),15.072,,0.0,2960.0,55.0,-55.0,0,0.14,0.01,-0.01,0.0,0.17,0.02,-0.02,0.0,11/7/2019,Transiting Exoplanet Survey Satellite (TESS)
7,LP 791-18,c,LP 791-18 c,Transit,0,2,4.989963,5e-05,-5e-05,0.0,0.029392,0.00098,-0.00105,0,0.0,,,0.0,89.55,0.32,-0.5,0.0,,,,0.0,,0.206,0.022,-0.022,0,,,,0.0,0,0,0,0,11h02m45.96s,165.6915,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0.0,16.9,0.2,0,V (Johnson),15.072,,0.0,2960.0,55.0,-55.0,0,0.14,0.01,-0.01,0.0,0.17,0.02,-0.02,0.0,11/7/2019,Transiting Exoplanet Survey Satellite (TESS)
8,GJ 1214,b,GJ 1214 b,Transit,0,1,1.58040456,1.6e-07,-1.6e-07,0.0,0.01411,0.00032,-0.00032,0,,,,,88.17,0.54,-0.54,0.0,0.0197,0.0027,-0.0027,0.0,Mass,0.254,0.018,-0.018,0,1.49,0.33,-0.33,0.0,0,0,0,3,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,14.65,0.04,-0.04,0,14.65,0.04,-0.04,0.0,15.1,0.6,0,V (Johnson),13.009,,0.0,3026.0,150.0,-150.0,0,0.15,0.01,-0.01,0.0,0.22,0.01,-0.01,0.0,12/3/2015,MEarth Project
9,LHS 3844,b,LHS 3844 b,Transit,0,1,0.46292913,1.9e-06,-1.9e-06,0.0,0.00622,0.00017,-0.00017,0,,,,0.0,88.5,0.51,-0.51,0.0,,,,0.0,,0.116,0.002,-0.002,0,,,,0.0,0,0,0,0,22h41m58.10s,340.492104,-69d10m08.4s,-69.168986,14.9,0.01,-0.01,0,14.89,0.01,-0.01,0.0,15.26,0.03,0,V (Johnson),13.393,,0.0,3036.0,77.0,-77.0,0,0.15,0.01,-0.01,0.0,0.19,0.01,-0.01,0.0,1/24/2019,Transiting Exoplanet Survey Satellite (TESS)
