pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
PSR B1257+12,b,PSR B1257+12 b,Pulsar Timing,0.19,0,0,0,0,0,0,0,1.4,0,0,0.00006,0.00001,-0.00001,0,0.02,0.002,-0.002
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0.02144,0.00066,-0.00063,0,0.07,0,0,1,0.08,0.01,-0.01,0.00129,0.00085,-0.00085,0,0.41,0.27,-0.27
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0.02817,0.00083,-0.00087,0,0.085,0,0,1,0.08,0.01,-0.01,0.00195,0.00182,-0.00182,0,0.62,0.58,-0.58
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0.0371,0.0011,-0.0011,0,0.063,0,0,1,0.08,0.01,-0.01,0.00214,0.00057,-0.00057,0,0.68,0.18,-0.18
GJ 9827,c,GJ 9827 c,Transit,0.03925,0.00042,-0.00029,0,0,0,0,0,0.61,0.02,-0.01,0.00264,0,0,0,0.84,0,0
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0.01111,0.00034,-0.00034,0,0.081,0,0,1,0.08,0.01,-0.01,0.00267,0.00227,-0.00227,0,0.85,0.72,-0.72
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0.0451,0.0014,-0.0014,0,0.061,0,0,1,0.08,0.01,-0.01,0.00422,0.00277,-0.00277,0,1.34,0.88,-0.88
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0.01521,0.00047,-0.00047,0,0.083,0,0,1,0.08,0.01,-0.01,0.00434,0.00192,-0.00192,0,1.38,0.61,-0.61
GJ 1132,b,GJ 1132 b,Transit,0.0153,0.0005,-0.0005,0,0.22,0,0,1,0.18,0.02,-0.02,0.00522,0.00072,-0.00072,0,1.66,0.23,-0.23
LHS 1140,c,LHS 1140 c,Transit,0.02675,0.0007,-0.0007,0,0.31,0,0,1,0.18,0.01,-0.01,0.00569,0.00123,-0.00123,0,1.81,0.39,-0.39
Kepler-11,b,Kepler-11 b,Transit,0.091,0.001,-0.001,0,0.045,0.068,-0.042,0,0.96,0.03,-0.03,0.006,0.004,-0.003,0,1.9,1.4,-1
Kepler-11,f,Kepler-11 f,Transit,0.25,0.002,-0.002,0,0.013,0.011,-0.009,0,0.96,0.03,-0.03,0.006,0.003,-0.003,0,2,0.8,-0.9
Kepler-47,b,Kepler-47 b,Transit,0.2877,0.0014,-0.0011,0,0.021,0.0025,-0.0022,0,0.96,0.01,-0.01,0.00651,0.07457,-0.00651,0,2.07,23.7,-2.07
Kepler-51,b,Kepler-51 b,Transit,0.2514,0.0097,-0.0097,0,0.04,0.01,-0.01,0,1.04,0.12,-0.12,0.007,0.005,-0.003,0,2.1,1.5,-0.8
LTT 1445 A,b,LTT 1445 A b,Transit,0.03807,0.00068,-0.00071,0,0.19,0.35,-0.14,0,0.26,0.01,-0.01,0.00692,0.00535,-0.00661,0,2.2,1.7,-2.1
Kepler-11,c,Kepler-11 c,Transit,0.107,0.001,-0.001,0,0.026,0.063,-0.013,0,0.96,0.03,-0.03,0.009,0.009,-0.005,0,2.9,2.9,-1.6
Kepler-47,c,Kepler-47 c,Transit,0.9638,0.0041,-0.0044,0,0.044,0.029,-0.019,0,0.96,0.01,-0.01,0.00997,0.00686,-0.00393,0,3.17,2.18,-1.25
Kepler-107,b,Kepler-107 b,Transit,0.04544,0.00035,-0.00035,0,0,0,0,0,1.24,0.03,-0.03,0.01104,0.00478,-0.00478,0,3.51,1.52,-1.52
Kepler-101,c,Kepler-101 c,Transit,0.0684,0.0014,-0.0014,0,0,0,0,0,1.17,0.07,-0.05,0.01,0,0,1,3.78,0,0
Kepler-107,d,Kepler-107 d,Transit,0.08377,0.00065,-0.00065,0,0,0,0,0,1.24,0.03,-0.03,0.01196,0,0,1,3.8,0,0
K2-36,b,K2-36 b,Transit,0.0223,0.0004,-0.0004,0,0,0,0,0,0.79,0.01,-0.01,0.01227,0.00346,-0.00346,0,3.9,1.1,-1.1
Kepler-51,c,Kepler-51 c,Transit,0.384,0.015,-0.015,0,0.014,0.013,-0.009,0,1.04,0.12,-0.12,0.013,0.001,-0.001,0,4,0.4,-0.4
GJ 9827,d,GJ 9827 d,Transit,0.05591,0.00059,-0.00041,0,0,0,0,0,0.61,0.02,-0.01,0.01271,0.00258,-0.00264,0,4.04,0.82,-0.84
Kepler-79,e,Kepler-79 e,Transit,0.386,0.005,-0.005,0,0.012,0.044,-0.005,0,1.17,0.04,-0.04,0.013,0.0038,-0.0035,0,4.1,1.2,-1.1
PSR B1257+12,c,PSR B1257+12 c,Pulsar Timing,0.36,0,0,0,0.0186,0.0002,-0.0002,0,1.4,0,0,0.01353,0.00063,-0.00063,0,4.3,0.2,-0.2
HD 219134,c,HD 219134 c,Radial Velocity,0.0653,0.0008,-0.0008,0,0.062,0.039,-0.039,0,0.81,0.03,-0.03,0.01372,0.00069,-0.00069,0,4.36,0.22,-0.22
Kepler-36,b,Kepler-36 b,Transit,0.1153,0.0015,-0.0015,0,0.039,0,0,1,1.07,0.04,-0.04,0.014,0.001,-0.001,0,4.45,0.33,-0.27
KOI-1599,c,KOI-1599.01,Transit,0.14728,0,0,0,0.014,0,0,0,1.02,0,0,0.01447,0.00094,-0.00094,0,4.6,0.3,-0.3
HD 219134,b,HD 219134 b,Radial Velocity,0.03876,0.00047,-0.00047,0,0,0,0,0,0.81,0.03,-0.03,0.01491,0.0006,-0.0006,0,4.74,0.19,-0.19
HD 39091,c,pi Men c,Transit,0.06839,0.0005,-0.0005,0,0,0,0,0,1.09,0.04,-0.04,0.01517,0.00264,-0.00271,0,4.82,0.84,-0.86
GJ 9827,b,GJ 9827 b,Transit,0.0188,0.0002,-0.00014,0,0,0,0,0,0.61,0.02,-0.01,0.01545,0.00154,-0.00154,0,4.91,0.49,-0.49
Kepler-21,b,Kepler-21 b,Transit,0.042717,0,0,0,0.02,0.1,-0.1,0,1.41,0.02,-0.03,0.01598,0.00541,-0.00541,0,5.08,1.72,-1.72
CoRoT-24,b,CoRoT-24 b,Transit,0.056,0.002,-0.002,0,0,0,0,0,0.91,0.09,-0.09,0.018,0,0,1,5.7,0,0
Kepler-79,c,Kepler-79 c,Transit,0.187,0.002,-0.003,0,0.03,0.027,-0.021,0,1.17,0.04,-0.04,0.019,0.006,-0.0072,0,5.9,1.9,-2.3
Kepler-79,d,Kepler-79 d,Transit,0.287,0.004,-0.004,0,0.025,0.059,-0.023,0,1.17,0.04,-0.04,0.019,0.0066,-0.005,0,6,2.1,-1.6
Kepler-87,c,Kepler-87 c,Transit,0.676,0.037,-0.04,0,0.039,0.012,-0.012,0,1.1,0.05,-0.05,0.02,0.003,-0.003,0,6.4,0.8,-0.8
K2-291,b,K2-291 b,Transit,0.03261,0.00044,-0.00044,0,0,0,0,0,0.93,0.04,-0.04,0.02042,0.00365,-0.00365,0,6.49,1.16,-1.16
K2-285,d,K2-285 d,Transit,0.1178,0.0029,-0.0029,0,0,0,0,0,0.83,0.02,-0.02,0.02045,0,0,1,6.5,0,0
K2-265,b,K2-265 b,Transit,0.03376,0.00021,-0.00021,0,0.084,0.079,-0.079,0,0.92,0.02,-0.02,0.02058,0.00264,-0.00264,0,6.54,0.84,-0.84
GJ 876,d,GJ 876 d,Radial Velocity,0.020807,0,0,0,0.207,0.055,-0.055,0,0.32,0.03,-0.03,0.021,0.001,-0.001,0,6.83,0.4,-0.4
Kepler-18,b,Kepler-18 b,Transit,0.0447,0.0006,-0.0006,0,0,0,0,0,0.97,0.04,-0.04,0.022,0.011,-0.011,0,6.9,3.4,-3.4
LHS 1140,b,LHS 1140 b,Transit,0.0936,0.0024,-0.0024,0,0.06,0,0,1,0.18,0.01,-0.01,0.02196,0.0028,-0.0028,0,6.98,0.89,-0.89
HD 219134,f,HD 219134 f,Radial Velocity,0.1463,0.0018,-0.0018,0,0.148,0.047,-0.047,0,0.81,0.03,-0.03,0.02297,0.00126,-0.00126,-1,7.3,0.4,-0.4
Kepler-11,d,Kepler-11 d,Transit,0.155,0.001,-0.001,0,0.004,0.007,-0.002,0,0.96,0.03,-0.03,0.023,0.003,-0.005,0,7.3,0.8,-1.5
HD 15337,b,HD 15337 b,Transit,0.0522,0.0012,-0.0012,0,0.09,0.05,-0.05,0,0.9,0.03,-0.03,0.02363,0.00343,-0.00318,0,7.51,1.09,-1.01
Kepler-51,d,Kepler-51 d,Transit,0.509,0.02,-0.02,0,0.008,0.011,-0.008,0,1.04,0.12,-0.12,0.024,0.003,-0.003,0,7.6,1.1,-1.1
K2-36,c,K2-36 c,Transit,0.054,0.001,-0.001,0,0,0,0,0,0.79,0.01,-0.01,0.02454,0.00724,-0.00724,0,7.8,2.3,-2.3
K2-216,b,K2-216 b,Transit,0.028,0.003,-0.007,0,0,0,0,0,0.7,0.03,-0.03,0.02517,0.00503,-0.00503,0,8,1.6,-1.6
Kepler-11,e,Kepler-11 e,Transit,0.195,0.002,-0.002,0,0.012,0.006,-0.006,0,0.96,0.03,-0.03,0.025,0.005,-0.007,0,8,1.5,-2.1
