pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_facility,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0,7,1.51087081,0.0000006,-0.0000006,0,0.01111,0.00034,-0.00034,0,0.081,,,1,0.097,0.003,-0.003,0,3.6,3.1,-3.1,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,La Silla Observatory,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0,7,2.4218233,0.0000017,-0.0000017,0,0.01521,0.00047,-0.00047,0,0.083,,,1,0.094,0.003,-0.003,0,6.45,2.92,-2.92,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,La Silla Observatory,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0,7,4.04961,0.000063,-0.000063,0,0.02144,0.00066,-0.00063,0,0.07,,,1,0.069,0.003,-0.003,0,4.9,3.3,-3.3,0,1,0,1,2,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,La Silla Observatory,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0,7,6.099615,0.000011,-0.000011,0,0.02817,0.00083,-0.00087,0,0.085,,,1,0.082,0.003,-0.003,0,4.4,4.2,-4.2,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,Multiple Observatories,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0,7,9.20669,0.000015,-0.000015,0,0.0371,0.0011,-0.0011,0,0.063,,,1,0.093,0.003,-0.003,0,3.3,0.94,-0.94,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,Multiple Observatories,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0,7,12.35294,0.00012,-0.00012,0,0.0451,0.0014,-0.0014,0,0.061,,,1,0.101,0.004,-0.004,0,5.2,3.5,-3.5,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,Multiple Observatories,80.45,0.12,-0.12,0,,,,,,,,
LP 791-18,b,LP 791-18 b,Transit,0,2,0.948005,0.0000058,-0.0000058,0,0.00969,0.00032,-0.00035,0,0,,,0,0.1,0.012,-0.012,0,,,,0,0,0,0,0,11h02m45.96s,165.6915,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0,16.9,0.2,0,V (Johnson),15.072,,0,2960,55,-55,0,0.14,0.01,-0.01,0,0.17,0.02,-0.02,0,11/7/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),37.72,0.09,-0.09,0,14.1,0.3,-0.3,0,6,M(6.1+/-0.7) V,,0
LP 791-18,c,LP 791-18 c,Transit,0,2,4.989963,0.00005,-0.00005,0,0.029392,0.00098,-0.00105,0,0,,,0,0.206,0.022,-0.022,0,,,,0,0,0,0,0,11h02m45.96s,165.6915,-16d24m22.29s,-16.406192,26.49,0.06,-0.06,0,26.51,0.06,-0.06,0,16.9,0.2,0,V (Johnson),15.072,,0,2960,55,-55,0,0.14,0.01,-0.01,0,0.17,0.02,-0.02,0,11/7/2019,,,,0,Transiting Exoplanet Survey Satellite (TESS),37.72,0.09,-0.09,0,14.1,0.3,-0.3,0,6,M(6.1+/-0.7) V,,0
K2-28,b,K2-28 b,Transit,0,1,2.260455,0.000041,-0.000041,0,0.0214,0.0013,-0.0013,0,0,,,0,0.207,0.021,-0.021,0,,,,,0,0,1,1,22h22m29.85s,335.62439,-07d57m19.3s,-7.955366,63.11,0.32,-0.32,0,63.11,0.32,-0.32,0,16.061,0.067,0,V (Johnson),14.68,,0,3214,60,-60,0,0.26,0.05,-0.05,0,0.29,0.03,-0.03,0,2/25/2016,,,,,K2,15.85,0.08,-0.08,0,,,,,6.4,M4,,0
LHS 1140,b,LHS 1140 b,Transit,0,2,24.736959,0.00008,-0.00008,0,0.0936,0.0024,-0.0024,0,0.06,,,1,0.154,0.003,-0.003,0,7.5,1,-1,0,0,0,0,0,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,0.02,-0.02,0,14.99,0.02,-0.02,0,14.18,0.03,0,V (Johnson),12.671,,0,3216,39,-39,0,0.18,0.01,-0.01,0,0.21,0,0,0,12/6/2018,4.85,0.55,-0.55,0,MEarth Project,66.7,0.07,-0.07,0,-13.23,0.6,-0.6,0,6.45,M4.5 V,,0
