pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_facility,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0,7,1.51087081,0.0000006,-0.0000006,0,0.01111,0.00034,-0.00034,0,0.081,,,1,0.097,0.003,-0.003,0,3.6,3.1,-3.1,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,La Silla Observatory,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0,7,2.4218233,0.0000017,-0.0000017,0,0.01521,0.00047,-0.00047,0,0.083,,,1,0.094,0.003,-0.003,0,6.45,2.92,-2.92,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,La Silla Observatory,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0,7,4.04961,0.000063,-0.000063,0,0.02144,0.00066,-0.00063,0,0.07,,,1,0.069,0.003,-0.003,0,4.9,3.3,-3.3,0,1,0,1,2,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,La Silla Observatory,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0,7,6.099615,0.000011,-0.000011,0,0.02817,0.00083,-0.00087,0,0.085,,,1,0.082,0.003,-0.003,0,4.4,4.2,-4.2,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,Multiple Observatories,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0,7,9.20669,0.000015,-0.000015,0,0.0371,0.0011,-0.0011,0,0.063,,,1,0.093,0.003,-0.003,0,3.3,0.94,-0.94,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,Multiple Observatories,80.45,0.12,-0.12,0,,,,,,,,
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0,7,12.35294,0.00012,-0.00012,0,0.0451,0.0014,-0.0014,0,0.061,,,1,0.101,0.004,-0.004,0,5.2,3.5,-3.5,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.8,0.08,0,V (Johnson),15.645,,0,2559,50,-50,0,0.08,0.01,-0.01,0,0.12,0,0,0,2/22/2017,,,,,Multiple Observatories,80.45,0.12,-0.12,0,,,,,,,,
LHS 1140,b,LHS 1140 b,Transit,0,2,24.736959,0.00008,-0.00008,0,0.0936,0.0024,-0.0024,0,0.06,,,1,0.154,0.003,-0.003,0,7.5,1,-1,0,0,0,0,0,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,0.02,-0.02,0,14.99,0.02,-0.02,0,14.18,0.03,0,V (Johnson),12.671,,0,3216,39,-39,0,0.18,0.01,-0.01,0,0.21,0,0,0,12/6/2018,4.85,0.55,-0.55,0,MEarth Project,66.7,0.07,-0.07,0,-13.23,0.6,-0.6,0,6.45,M4.5 V,,0
LHS 1140,c,LHS 1140 c,Transit,0,2,3.777931,0.000003,-0.000003,0,0.02675,0.0007,-0.0007,0,0.31,,,1,0.114,0.002,-0.002,0,4.7,1.1,-1.1,0,0,0,0,0,00h44m59.34s,11.24724,-15d16m17.5s,-15.271532,14.99,0.02,-0.02,0,14.99,0.02,-0.02,0,14.18,0.03,0,V (Johnson),12.671,,0,3216,39,-39,0,0.18,0.01,-0.01,0,0.21,0,0,0,12/6/2018,2.35,0.49,-0.49,0,Multiple Observatories,66.7,0.07,-0.07,0,-13.23,0.6,-0.6,0,6.45,M4.5 V,,0
LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882,0.0003,-0.00031,0,0.03807,0.00068,-0.00071,0,0.19,0.35,-0.14,0,0.123,0.012,-0.011,0,4.4,4,-4.2,0,0,0,0,0,03h01m51.39s,45.464111,-16d35m36.1s,-16.593372,6.87,0,0,0,6.87,0,0,0,11.22,0.02,0,V (Johnson),10.047,,0,3337,150,-150,0,0.26,0.01,-0.01,0,0.28,0.02,-0.02,0,8/15/2019,2.1,1.6,-2,0,Transiting Exoplanet Survey Satellite (TESS),145.55,0.08,-0.08,0,-5.43,0,0,0,6.3,M3,,0
K2-72,b,K2-72 b,Transit,0,4,5.577212,0.000417,-0.000419,0,0.04,0.004,-0.005,0,0.11,0.196982,-0.087659,0,0.096,0.01,-0.01,0,,,,0,0,0,1,0,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,66.56,0.2,-0.2,0,66.56,0.2,-0.2,0,15.309,0.05,0,V (Johnson),14.279,,0,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,10/26/2017,,,,0,K2,15.02,0.04,-0.04,0,,,,,,,,
